ordre,code,titre,sous_titre,competence_reference,lien,description,reference
1,T.1,Comprendre la démarche pédagogique à Solicode,Découvrir la pédagogie active et la méthode Solicode,DWB-M105-T1,https://solicode-web-mobile.github.io/autoformations-web/demarche-pedagogique-solicode/,Introduction aux principes de la pédagogie active de Solicode. ,DWB-T.1
2,T.2,Collaboration & posture professionnelle,Adopter une posture collaborative et agile,DWB-M107-T2,https://solicode-web-mobile.github.io/autoformations-web/collaboration-posture-professionnelle/,Apprendre à collaborer efficacement dans un cadre professionnel. ,DWB-T.2
3,T.3,Git & GitHub,Gérer un projet avec Git et GitHub,DWB-M107-T3,https://solicode-web-mobile.github.io/autoformations-web/git-github/,Utiliser Git et GitHub pour gérer les versions et collaborer.,DWB-T.3
4,1.1,Comprendre le maquettage,Découvrir le rôle du maquettage dans un projet web,DWB-M106-C1,https://solicode-web-mobile.github.io/autoformations-web/comprendre-maquettage/,Découvrir les bases du maquettage et son rôle dans la conception. ,DWB-1.1
5,1.2,Concevoir avec UX/UI,Appliquer les principes UX et UI dans la conception,DWB-M106-C1,https://solicode-web-mobile.github.io/autoformations-web/concevoir-ux-ui/,Appliquer les notions UX/UI pour améliorer les interfaces. ,DWB-1.2
6,2.1,Structurer le HTML,Maîtriser la structure et la sémantique HTML,DWB-M108-C2,https://solicode-web-mobile.github.io/autoformations-web/structurer-html/,Apprendre à structurer une page HTML correctement. ,DWB-2.1
7,2.2,Styliser avec CSS,Mettre en forme une interface web avec CSS,DWB-M108-C2,https://solicode-web-mobile.github.io/autoformations-web/styliser-css/,Utiliser CSS pour mettre en forme et styliser les pages web. ,DWB-2.2
8,3.1,JavaScript : Premiers pas,Découvrir les bases du langage JavaScript,DWB-M108-C3,https://solicode-web-mobile.github.io/autoformations-web/javascript-premiers-pas/,Découvrir les bases de JavaScript pour créer des interactions. ,DWB-3.1
9,3.2,JavaScript : Aller plus loin,Approfondir les concepts et APIs JavaScript,DWB-M108-C3,https://solicode-web-mobile.github.io/autoformations-web/javascript-aller-plus-loin/,Approfondir JavaScript pour manipuler les données et APIs. ,DWB-3.2
10,4.1,Démarrer avec WordPress,Installer et configurer un site WordPress,DWB-M110-C4,https://solicode-web-mobile.github.io/autoformations-web/demarrer-wordpress/,Apprendre les fondamentaux de WordPress pour créer un site. ,DWB-4.1
11,5.1,Concevoir une base relationnelle,Modéliser et créer une base SQL,DWB-M109-C5,https://solicode-web-mobile.github.io/autoformations-web/concevoir-base-relationnelle/,Concevoir et modéliser une base de données relationnelle. ,DWB-5.1
12,5.2,Requêtes et manipulation SQL,Lire et manipuler des données SQL,DWB-M109-C5,https://solicode-web-mobile.github.io/autoformations-web/requetes-manipulation-sql/,Maîtriser les requêtes SQL pour interroger et modifier les données. ,DWB-5.2
13,6.1,Connecter une application à une base de données,Connexion et requêtes sécurisées avec PDO,DWB-M109-C6,https://solicode-web-mobile.github.io/autoformations-web/connecter-application-bdd/,Apprendre à connecter une application à une base de données via PDO. ,DWB-6.1
14,7.1,Bases et logique PHP,Découvrir la syntaxe et la logique en PHP,DWB-M109-C7,https://solicode-web-mobile.github.io/autoformations-web/bases-logique-php/,Découvrir la syntaxe et les bases de la logique PHP. ,DWB-7.1
15,7.2,Formulaires et navigation sécurisée,Gérer les formulaires et les sessions en PHP,DWB-M109-C7,https://solicode-web-mobile.github.io/autoformations-web/formulaires-navigation-securisee/,Gérer les formulaires et sécuriser la navigation en PHP. ,DWB-7.2
16,7.3,Programmation orientée objet,Découvrir la POO en PHP,DWB-M109-C7,https://solicode-web-mobile.github.io/autoformations-web/programmation-orientee-objet/,Maîtriser les concepts de base de la POO avec PHP. ,DWB-7.3
17,8.1,Découvrir React,Créer des composants interactifs avec React,DWB-M108-C8,https://solicode-web-mobile.github.io/autoformations-web/c8-decouvrir-react/,Introduction à React et ses composants fondamentaux. ,DWB-8.1
1,C1.1,Analyse du besoin,Du persona au MVP testable,DMB-M106-C1,https://solicode-web-mobile.github.io/autoformation-mobile//analyse-besoin/,"Cadrer le besoin utilisateur, définir persona, problem statement, MVP et cas d’utilisation.",DMB-C1.1
2,C1.2,Conception UI & maquettes,"Architecture d’information, wireframes, style v1",DMB-M106-C1,https://solicode-web-mobile.github.io/autoformation-mobile/conception-ui-maquettes/,"Produire l’architecture d’information, des wireframes et maquettes UI.",DMB-C1.2
3,C2.1,Schéma & Eloquent,Modéliser et manipuler les données,DMB-M108-C2,https://solicode-web-mobile.github.io/autoformation-mobile/schema-eloquent/,"Créer un schéma relationnel, utiliser migrations, seeders et CRUD basique.",DMB-C2.1
4,C2.2,Eloquent avancé,"Requêtes, transactions, index et sécurité",DMB-M108-C2,https://solicode-web-mobile.github.io/autoformation-mobile/eloquent-avance/,"Requêtes complexes, transactions ACID, index, sauvegarde et privilèges SQL.",DMB-C2.2
5,C3.0,Rappel PHP & POO,"PHP moderne, POO, CLI & JSON",DMB-M109-C3,https://solicode-web-mobile.github.io/autoformation-mobile/php-poo/,"Révision PHP moderne et POO : classes, interfaces, CLI, JSON, Composer.",DMB-C3.0
6,C3.1,CRUD avec Laravel,"Installer, MVC, formulaires & CRUD",DMB-M109-C3,https://solicode-web-mobile.github.io/autoformation-mobile/laravel-crud/,"Installer Laravel, comprendre MVC, créer un CRUD simple avec formulaires sécurisés.",DMB-C3.1
7,C3.2,API REST,"Endpoints JSON, pagination, contrat API",DMB-M109-C3,https://solicode-web-mobile.github.io/autoformation-mobile/api-rest/,"Construire une API Laravel REST : routes JSON, pagination, resources, contrat API.",DMB-C3.2
8,C3.3,Sécurité & gestion des erreurs,"Auth, policies, exceptions, logs",DMB-M109-C3,https://solicode-web-mobile.github.io/autoformation-mobile/securite/,"Mettre en place middlewares, policies, gestion centralisée des exceptions et logs.",DMB-C3.3
9,C4.1,Git & GitFlow,"Dépôt propre, branches, PR & merge",DMB-M107-C4,https://solicode-web-mobile.github.io/autoformation-mobile/git-gitflow/,"Mettre en place un dépôt Git propre, appliquer GitFlow minimal et gérer PR/merge.",DMB-C4.1
10,C4.2,Agile & Scrum (basique),"Rôles, rituels, backlog, sprint 1 semaine",DMB-M107-C4,https://solicode-web-mobile.github.io/autoformation-mobile/agile-scrum/,"Découvrir Scrum allégé : rôles, artefacts, backlog, estimation, sprint et rétrospective.",DMB-C4.2
11,C5.1,Bien démarrer le Mobile,"Android Studio, projet Compose, APK",DMB-M110-C5,https://solicode-web-mobile.github.io/autoformation-mobile/mobile-onboarding/,"Installer Android Studio, créer premier projet, livrer APK debug et mini-app Hello.",DMB-C5.1
12,C5.2,Kotlin essentiel,"Null-safety, fonctions, data class",DMB-M110-C5,https://solicode-web-mobile.github.io/autoformation-mobile/kotlin-essentiel/,"Écrire du code Kotlin concis et sûr : null-safety, fonctions, data class, collections.",DMB-C5.2
13,C5.3,Android avec Compose,"UI Compose, état, navigation basique",DMB-M110-C5,https://solicode-web-mobile.github.io/autoformation-mobile/android-compose/,"Construire des écrans Compose, gérer état local, MVVM léger et navigation.",DMB-C5.3
14,C5.4,Consommer une API,"Retrofit/Coroutines, états UI, erreurs",DMB-M110-C5,https://solicode-web-mobile.github.io/autoformation-mobile/android-api/,"Appeler une API REST avec Retrofit, gérer UI states et erreurs réseau.",DMB-C5.4
15,C6.1,Tests unitaires Laravel,"Pest/PHPUnit : HTTP, DB, fakes",DMB-M109-C6,https://solicode-web-mobile.github.io/autoformation-mobile/tests-laravel/,"Écrire des tests unitaires et d’intégration avec Pest/PHPUnit (HTTP, DB, fakes).",DMB-C6.1
16,C7.1,Logique binaire & matériel,"Binaire/hex, CPU/RAM, OS & services",DMB-M111-C7,https://solicode-web-mobile.github.io/autoformation-mobile/binaire-matériel/,"Découvrir logique binaire, composants matériels et OS de base.",DMB-C7.1
17,C7.2,LAN & IP,"Switch/routeur, VLAN, IPv4/DHCP, diag",DMB-M111-C7,https://solicode-web-mobile.github.io/autoformation-mobile/lan-ip/,"Apprendre adressage IPv4/IPv6, VLANs, DHCP et outils réseau.",DMB-C7.2
18,C7.3,Serveur Web (HTTP/HTTPS),"Méthodes/codes, TLS, PHP-FPM, logs",DMB-M111-C7,https://solicode-web-mobile.github.io/autoformation-mobile/http-principes/,"Comprendre HTTP/HTTPS, architecture serveur, logs et traçage client-serveur.",DMB-C7.3
19,C7.4,Apache,"Installation, vhosts, droits, mise en ligne",DMB-M111-C7,https://solicode-web-mobile.github.io/autoformation-mobile/apache-vhosts/,"Installer et configurer Apache, gérer vhosts, sécurité et mise en ligne.",DMB-C7.4